2016-03-18 08:05:41 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 install libpam0g:armhf <none> 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:42 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:42 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:42 install libpcre3:armhf <none> 2:8.35-3.3+deb8u2
2016-03-18 08:05:42 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u2
2016-03-18 08:05:44 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u2
2016-03-18 08:05:44 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u2
2016-03-18 08:05:44 install libpng12-0:armhf <none> 1.2.50-2+deb8u2
2016-03-18 08:05:44 status half-installed libpng12-0:armhf 1.2.50-2+deb8u2
2016-03-18 08:05:44 status unpacked libpng12-0:armhf 1.2.50-2+deb8u2
2016-03-18 08:05:44 status unpacked libpng12-0:armhf 1.2.50-2+deb8u2
2016-03-18 08:05:44 install libprocps3:armhf <none> 2:3.3.9-9
2016-03-18 08:05:44 status half-installed libprocps3:armhf 2:3.3.9-9
2016-03-18 08:05:44 status unpacked libprocps3:armhf 2:3.3.9-9
2016-03-18 08:05:44 status unpacked libprocps3:armhf 2:3.3.9-9
2016-03-18 08:05:44 install libselinux1:armhf <none> 2.3-2
2016-03-18 08:05:44 status half-installed libselinux1:armhf 2.3-2
2016-03-18 08:05:44 status unpacked libselinux1:armhf 2.3-2
2016-03-18 08:05:44 status unpacked libselinux1:armhf 2.3-2
2016-03-18 08:05:44 install libsemanage-common:all <none> 2.3-1
2016-03-18 08:05:44 status half-installed libsemanage-common:all 2.3-1
2016-03-18 08:05:44 status unpacked libsemanage-common:all 2.3-1
2016-03-18 08:05:44 status unpacked libsemanage-common:all 2.3-1
2016-03-18 08:05:45 install libsemanage1:armhf <none> 2.3-1
2016-03-18 08:05:45 status half-installed libsemanage1:armhf 2.3-1
2016-03-18 08:05:45 status unpacked libsemanage1:armhf 2.3-1
2016-03-18 08:05:45 status unpacked libsemanage1:armhf 2.3-1
2016-03-18 08:05:45 install libsepol1:armhf <none> 2.3-2
2016-03-18 08:05:45 status half-installed libsepol1:armhf 2.3-2
2016-03-18 08:05:45 status unpacked libsepol1:armhf 2.3-2
2016-03-18 08:05:45 status unpacked libsepol1:armhf 2.3-2
2016-03-18 08:05:45 install libslang2:armhf <none> 2.3.0-2
2016-03-18 08:05:45 status half-installed libslang2:armhf 2.3.0-2
2016-03-18 08:05:45 status unpacked libslang2:armhf 2.3.0-2
2016-03-18 08:05:45 status unpacked libslang2:armhf 2.3.0-2
